"Barley-Barley malting-        Ethiopia, United Ends 6/1993 & New Begin-Exports and imports",2
Barley-Barley malting-        European Union_15-Exports and imports,210
Barley-Barley malting-        Guatemala-Exports and imports,20
Barley-Barley malting-        Guyana-Exports and imports,10
Barley-Barley malting-        Haiti-Exports and imports,2
Barley-Barley malting-        Honduras-Exports and imports,5
Barley-Barley malting-        Israel-Exports and imports,10
Barley-Barley malting-        Jamaica-Exports and imports,17
Barley-Barley malting-        Mexico-Exports and imports,316
Barley-Barley malting-        Nicaragua-Exports and imports,5
Barley-Barley malting-        Panama-Exports and imports,25
Barley-Barley malting-        Republic Of South Africa-Exports and imports,14
Barley-Barley malting-        Saudi Arabia-Exports and imports,6
Barley-Barley malting-        South Asia-Exports and imports,10
Barley-Barley malting-        Southeast Asia-Exports and imports,45
Barley-Barley malting-        St. Vincent And The Grenadine-Exports and imports,1
Barley-Barley malting-        Trinidad And Tobago-Exports and imports,4
Barley-Barley malting-        Turks And Caicos Islands-Exports and imports,10
Barley-Barley malting-        United Arab Emirates-Exports and imports,2
Barley-Barley malting-        Uruguay-Exports and imports,4
Barley-Barley malting-        Venezuela-Exports and imports,7
Barley-Barley malting-      Asia-Exports and imports,236
Barley-Barley malting-      Caribbean-Exports and imports,90
Barley-Barley malting-      Central America-Exports and imports,80
Barley-Barley malting-      European Union_25-Exports and imports,212
Barley-Barley malting-      European Union_27-Exports and imports,212
Barley-Barley malting-      Former Soviet Union_12-Exports and imports,20
Barley-Barley malting-      Middle East-Exports and imports,18
Barley-Barley malting-      North Africa-Exports and imports,2
Barley-Barley malting-      North America-Exports and imports,709
Barley-Barley malting-      Other Europe-Exports and imports,2
Barley-Barley malting-      South America-Exports and imports,47
Barley-Barley malting-      Sub_Saharan Africa-Exports and imports,16
Barley-Barley malting-    Africa-Exports and imports,18
Barley-Barley malting-    Asia and Middle East-Exports and imports,240
Barley-Barley malting-    Europe/Eurasia-Exports and imports,220
Barley-Barley malting-    Oceania-Exports and imports,4
Barley-Barley malting-    Western Hemisphere-Exports and imports,715
Barley-Barley malting-  Caribbean Basin (CBERA)-Exports and imports,130
Barley-Barley malting-  Latin America-Exports and imports,346
Barley-Barley malting-United States-Prices,482
Barley-Barley malting-World-Exports and imports,725
Barley-Barley products-          Albania-Exports and imports,7
Barley-Barley products-          Austria-Exports and imports,24
Barley-Barley products-          Belarus-Exports and imports,8
Barley-Barley products-          Belgium-Exports and imports,349
Barley-Barley products-          Bulgaria-Exports and imports,2
Barley-Barley products-          China (Mainland)-Exports and imports,267
Barley-Barley products-          China (Taiwan)-Exports and imports,163
